model,detector,auroc,fpr_at_95tpr
brain,MSP,0.5290137107474568,0.9277310924369748
brain,Energy,0.5077841662980982,0.984873949579832
brain,Mahalanobis,0.9415745245466608,0.2638655462184874
brain,kNN,0.8192835028748342,0.38487394957983195
brain,Gate (ours),1.0,0.0
lung,MSP,0.9105606258148633,0.5295857988165681
lung,Energy,0.8750777254036706,0.4230769230769231
lung,Mahalanobis,0.9700832414000602,0.16568047337278108
lung,kNN,0.9892187343295556,0.05029585798816568
lung,Gate (ours),1.0,0.0
skin,MSP,0.8917417417417418,0.6006006006006006
skin,Energy,0.9352752752752754,0.33933933933933935
skin,Mahalanobis,0.9664164164164164,0.23423423423423423
skin,kNN,0.9686486486486486,0.15915915915915915
skin,Gate (ours),1.0,0.0
