scenario,kind,n,n_malignant,cleared,miss_rate,breach,v_conf_drop,v_ks_risk,v_atc_err_rise,v_mahalanobis,v_energy,v_cleared_mass,v_cleared_frac,v_mean_risk,v_risk_q10,v_risk_q25,v_conf_mean,a_conf_drop,a_ks_risk,a_atc_err_rise,a_mahalanobis,a_energy,a_cleared_mass
clean,reference,1699,389,0.36492054149499703,0.017994858611825194,False,-0.0056220293045043945,0.03440890338223919,-0.009799916784371476,21.41582029728538,-4.232054233551025,0.023405523970723152,0.36492054149499703,0.28152981400489807,0.012415064126253128,0.023087847977876663,0.8453653454780579,False,True,False,True,False,False
pop_head_neck,population,222,80,0.18468468468468469,0.0,False,0.06731373071670532,0.25962421976489974,0.11345753725589597,28.171538811524847,-3.7932236194610596,0.007967701181769371,0.18468468468468469,0.43085554242134094,0.02075152937322855,0.06414557807147503,0.7724295854568481,True,True,True,True,True,False
pop_trunk,population,851,138,0.38425381903642775,0.0,False,-0.022172927856445312,0.07131049189767778,-0.040087311941127135,19.60982709664261,-4.3062005043029785,0.030842505395412445,0.38425381903642775,0.23710322380065918,0.013575440272688866,0.02345321048051119,0.8619162440299988,False,True,False,True,False,True
pop_limbs,population,523,154,0.3938814531548757,0.03896103896103896,False,-0.009783446788787842,0.05709911481017397,-0.015028501363985841,21.273438261757732,-4.27236270904541,0.022300878539681435,0.3938814531548757,0.3016435205936432,0.012061340734362602,0.019717033952474594,0.8495267629623413,False,True,False,True,False,False
pop_age_under50,population,680,70,0.4323529411764706,0.1,True,-0.032185375690460205,0.13458726984345906,-0.06049582787393973,19.39590859407915,-4.391210079193115,0.04347413033246994,0.4323529411764706,0.18092285096645355,0.010473142750561238,0.020188684109598398,0.8719286918640137,False,True,False,True,False,True
pop_age_70plus,population,373,175,0.20911528150134048,0.0,False,0.04601341485977173,0.24813542488425963,0.0940145017270696,25.032666991423216,-3.991342544555664,0.007999250665307045,0.20911528150134048,0.4546484351158142,0.01641252711415291,0.04054781794548035,0.7937299013137817,True,True,True,True,True,False
pop_female,population,800,140,0.37,0.04285714285714286,False,-0.01385587453842163,0.06121336459554513,-0.02909876905041031,20.645037748126587,-4.2691755294799805,0.028606709092855453,0.37,0.24071861803531647,0.012577135674655437,0.024129388388246298,0.8535991907119751,False,True,False,True,False,True
pop_male,population,888,249,0.36261261261261263,0.004016064257028112,False,0.00022584199905395508,0.07736077226112396,0.004223303021661767,22.075998059279758,-4.201817512512207,0.019967494532465935,0.36261261261261263,0.3188231587409973,0.012308976892381907,0.022229607217013836,0.8395174741744995,False,True,False,True,False,False
jpeg_q50,acquisition,1699,389,0.35256032960565037,0.04884318766066838,False,0.006757915019989014,0.051526068365157905,0.011977599401620298,25.161446050601075,-4.243882656097412,0.020116405561566353,0.35256032960565037,0.29674220085144043,0.011749160662293435,0.021835110150277615,0.8329854011535645,False,True,False,True,False,False
jpeg_q25,acquisition,1699,389,0.29252501471453796,0.08226221079691516,True,0.013472437858581543,0.08649526271229128,0.00550320269767679,27.846939035041068,-4.243993282318115,0.014839340932667255,0.29252501471453796,0.3199070692062378,0.01222166158258915,0.025847360491752625,0.8262708783149719,True,True,False,True,False,False
jpeg_q10,acquisition,1699,389,0.21659799882283695,0.11311053984575835,True,0.08954954147338867,0.1695118223463633,0.13322539222092578,32.83147851346616,-3.748971939086914,0.01311570405960083,0.21659799882283695,0.2983122169971466,0.017220364883542068,0.04080446995794773,0.7501937747001648,True,True,True,True,True,False
blur_0.7,acquisition,1699,389,0.37433784579164214,0.017994858611825194,False,-0.009687721729278564,0.03577927020031782,-0.01921722108101656,20.83267748014489,-4.225761890411377,0.024769531562924385,0.37433784579164214,0.2671670615673065,0.011771904304623604,0.02130221389234066,0.849431037902832,False,True,False,True,False,False
blur_1.5,acquisition,1699,389,0.3502060035314891,0.03598971722365039,False,0.01986140012741089,0.04946913811103283,0.0349322786246927,21.550860271784362,-4.0598835945129395,0.027401939034461975,0.3502060035314891,0.2495129406452179,0.01440789271146059,0.025451118126511574,0.8198819160461426,True,True,True,True,True,True
blur_3.0,acquisition,1699,389,0.303708063566804,0.05398457583547558,True,0.037787795066833496,0.12732301671143703,0.059064120884845694,22.18961526381893,-3.8950469493865967,0.03395386412739754,0.303708063566804,0.18855620920658112,0.017622532695531844,0.028974393382668495,0.80195552110672,True,True,True,True,True,True
bright_0.7,acquisition,1699,389,0.3078281341965862,0.04884318766066838,False,-0.001995563507080078,0.06866220871942463,-0.020982965636637513,21.24204232277938,-4.160341262817383,0.026193266734480858,0.3078281341965862,0.2301066666841507,0.016084897518157962,0.0274979118257761,0.8417388796806335,False,True,False,True,True,True
bright_1.3,acquisition,1699,389,0.26486168334314303,0.012853470437017995,False,0.034018635749816895,0.1212336475424824,0.047881072032579686,23.59865897004387,-3.9617130756378174,0.015548120252788067,0.26486168334314303,0.3218219578266144,0.01594585180282593,0.032124798744916916,0.8057246804237366,True,True,True,True,True,False
bright_1.6,acquisition,1699,389,0.14655679811653913,0.05912596401028278,True,0.12454867362976074,0.2523641587665871,0.20915240811262675,28.010844886876022,-3.4941556453704834,0.007582657039165497,0.14655679811653913,0.3436572551727295,0.022650226205587393,0.06639522314071655,0.7151946425437927,True,True,True,True,True,False
contrast_0.6,acquisition,1699,389,0.368452030606239,0.11053984575835475,True,0.020105600357055664,0.12172390213676482,0.018451996105563778,25.322272853317337,-3.9867584705352783,0.035320430994033813,0.368452030606239,0.1899576634168625,0.012193399854004383,0.023220200091600418,0.8196377158164978,True,True,False,True,True,True
contrast_1.6,acquisition,1699,389,0.2660388463802237,0.002570694087403599,False,0.018019139766693115,0.14827320670665525,0.012566180920160597,22.99485507500182,-4.035146713256836,0.01407146267592907,0.2660388463802237,0.3795577585697174,0.017208200693130494,0.03173418529331684,0.8217241764068604,True,True,False,True,True,False
gamma_0.6,acquisition,1699,389,0.28958210712183635,0.04884318766066838,False,0.023659229278564453,0.08236794694072162,0.02021774066118473,25.22006736994255,-3.992994546890259,0.019021032378077507,0.28958210712183635,0.2619715631008148,0.011958344839513304,0.02845263108611107,0.816084086894989,True,True,True,True,True,False
gamma_1.8,acquisition,1699,389,0.27604473219540904,0.012853470437017995,False,0.01602017879486084,0.10360345751966366,0.006680365734757415,21.945671682674764,-4.030792236328125,0.017887426540255547,0.27604473219540904,0.32081395387649536,0.017435965314507484,0.031055264174938202,0.8237231373786926,True,True,False,True,True,False
warm_1.10,acquisition,1699,389,0.3507945850500294,0.02056555269922879,False,0.010152101516723633,0.030591058667018115,0.004914621179136464,21.33676070941891,-4.110500812530518,0.024090062826871872,0.3507945850500294,0.27099528908729553,0.013118482008576394,0.02465883083641529,0.8295912146568298,True,True,False,True,True,False
warm_1.25,acquisition,1699,389,0.36021188934667453,0.08226221079691516,True,-0.006182551383972168,0.11778737509893068,-0.01921722108101656,21.71825518230692,-4.127310752868652,0.03812485933303833,0.36021188934667453,0.18021157383918762,0.013541892170906067,0.02415868453681469,0.8459258675575256,False,True,False,True,True,True
cool_0.90,acquisition,1699,389,0.3596233078281342,0.05141388174807198,True,0.010859310626983643,0.04109789428579117,0.0060917842162171165,22.76060518105916,-4.200345516204834,0.025075560435652733,0.3596233078281342,0.24876177310943604,0.01115894503891468,0.022220201790332794,0.8288840055465698,True,True,False,True,False,False
cool_0.80,acquisition,1699,389,0.329605650382578,0.07712082262210797,True,0.04167187213897705,0.07885163812655814,0.06024128392192635,25.662113188494917,-4.021142482757568,0.02597690559923649,0.329605650382578,0.22123759984970093,0.011851933598518372,0.024080824106931686,0.7980714440345764,True,True,True,True,True,True
desaturate,acquisition,1699,389,0.4072984108298999,0.21079691516709512,True,0.011722266674041748,0.16285215701671282,0.0007945505493542615,27.37492777123509,-4.1258368492126465,0.04115275293588638,0.4072984108298999,0.15508729219436646,0.00801389105618,0.018949941731989384,0.8280210494995117,True,True,False,True,True,True
saturate,acquisition,1699,389,0.2636845203060624,0.002570694087403599,False,0.01956188678741455,0.11291484474351163,0.029046463439289516,23.271382580469403,-4.023925304412842,0.015623383224010468,0.2636845203060624,0.3467501699924469,0.017581135034561157,0.03224836848676205,0.8201814293861389,True,True,True,True,True,False
res_0.5,acquisition,1699,389,0.32901706886403764,0.02056555269922879,False,0.01771855354309082,0.04808186596211688,0.03257795255053142,21.75981038180435,-4.080381393432617,0.022686965763568878,0.32901706886403764,0.2780746519565582,0.014668428897857667,0.02579782996326685,0.8220247626304626,True,True,True,True,True,False
